Gene stable ID,Gene name,FlyBase annotation ID,Gene type,Gene description
FBgn0040929,CG12659,CG12659,protein_coding,CG12659
FBgn0083007,Psi28S-1135f,CR34599,snoRNA,Psi28S-1135f
FBgn0287587,CG46457,CG46457,protein_coding,CG46457
FBgn0003380,Sh,CG12348,protein_coding,Shaker
FBgn0038208,CG14355,CG14355,protein_coding,CG14355
FBgn0030004,CG10958,CG10958,protein_coding,CG10958
FBgn0262390,mir-303,CR42924,ncRNA,mir-303 stem loop
FBgn0262592,CG43127,CG43127,protein_coding,CG43127
FBgn0034255,Oxp,CG18186,protein_coding,Oxpecker
FBgn0038258,CG7362,CG7362,protein_coding,CG7362
FBgn0053680,Jhbp10,CG33680,protein_coding,Juvenile hormone binding protein 10
FBgn0265608,CG44426,CG44426,protein_coding,CG44426
FBgn0260479,CG31904,CG31904,protein_coding,CG31904
FBgn0039280,Mocs2B,CG10238,protein_coding,Molybdenum cofactor synthesis 2B
FBgn0003865,tsg,CG1502,protein_coding,twisted gastrulation
FBgn0035294,Mfap1,CG1017,protein_coding,Microfibril-associated protein 1
FBgn0024182,waw,CG1410,protein_coding,waclaw
FBgn0086444,l(2)37Cb,CG10689,protein_coding,lethal (2) 37Cb
FBgn0265788,CR44577,CR44577,ncRNA,CR44577
FBgn0031808,Nepl5,CG9507,protein_coding,Neprilysin-like 5
FBgn0005672,spi,CG10334,protein_coding,spitz
FBgn0033081,geminin,CG3183,protein_coding,geminin
FBgn0032172,CG5850,CG5850,protein_coding,CG5850
FBgn0025624,CG4025,CG4025,protein_coding,CG4025
FBgn0266083,ocm,CG3363,protein_coding,over compensating males
FBgn0030837,CG8661,CG8661,protein_coding,CG8661
FBgn0265052,St3,CG44167,protein_coding,Sulfotransferase 3
FBgn0033086,CG9410,CG9410,protein_coding,CG9410
FBgn0033469,CG12133,CG12133,protein_coding,CG12133
FBgn0050458,CG30458,CG30458,protein_coding,CG30458
FBgn0036871,CG14096,CG14096,protein_coding,CG14096
FBgn0262739,AGO1,CG6671,protein_coding,Argonaute-1
FBgn0003744,trc,CG8637,protein_coding,tricornered
FBgn0039172,Spase22-23,CG5677,protein_coding,Spase 22/23-subunit
FBgn0051815,CG31815,CG31815,protein_coding,CG31815
FBgn0032666,CG5758,CG5758,protein_coding,CG5758
FBgn0030574,sbm,CG9413,protein_coding,sobremesa
FBgn0266867,CR45328,CR45328,ncRNA,CR45328
FBgn0265890,CR44679,CR44679,ncRNA,CR44679
FBgn0034583,CG10527,CG10527,protein_coding,CG10527
FBgn0034972,CG10339,CG10339,protein_coding,CG10339
FBgn0026386,Or47a,CG13225,protein_coding,Odorant receptor 47a
FBgn0036891,CG9372,CG9372,protein_coding,CG9372
FBgn0032597,Nubp1,CG17904,protein_coding,NUBP iron-sulfur cluster assembly factor 1
FBgn0015372,RabX1,CG3870,protein_coding,RabX1
FBgn0029840,raptor,CG4320,protein_coding,raptor
FBgn0037661,Ada,CG11994,protein_coding,Adenosine deaminase
FBgn0036007,path,CG3424,protein_coding,pathetic
FBgn0040347,mus81,CG3026,protein_coding,mus81
FBgn0031613,HP6,CG15636,protein_coding,Heterochromatin protein 6
FBgn0264958,CR44127,CR44127,ncRNA,CR44127
FBgn0083055,Psi18S-1295,CR34615,snoRNA,Psi18S-1295
FBgn0003701,thr,CG5785,protein_coding,three rows
FBgn0283525,l(2)10685,CG4749,protein_coding,lethal (2) 10685
FBgn0023001,melt,CG8624,protein_coding,melted
FBgn0263505,CR43494,CR43494,ncRNA,CR43494
FBgn0032371,CG4983,CG4983,protein_coding,CG4983
FBgn0264291,Det,CG12265,protein_coding,Deterin
FBgn0038461,EMC2B,CG3678,protein_coding,ER membrane protein complex subunit 2B
FBgn0032482,Pect,CG5547,protein_coding,Phosphoethanolamine cytidylyltransferase
FBgn0036990,mRpL15,CG5219,protein_coding,mitochondrial ribosomal protein L15
FBgn0267810,CR46135,CR46135,ncRNA,CR46135
FBgn0037225,TwdlG,CG14643,protein_coding,TweedleG
FBgn0264379,CR43831,CR43831,ncRNA,CR43831
FBgn0038108,CG7518,CG7518,protein_coding,CG7518
FBgn0031287,CG4291,CG4291,protein_coding,CG4291
FBgn0037826,CG14689,CG14689,protein_coding,CG14689
FBgn0041224,Gr97a,CG33083,protein_coding,Gustatory receptor 97a
FBgn0267505,CR45845,CR45845,rRNA,CR45845
FBgn0029879,APC7,CG14444,protein_coding,Anaphase Promoting Complex subunit 7
FBgn0035016,CG4612,CG4612,protein_coding,CG4612
FBgn0028746,CG18508,CG18508,protein_coding,CG18508
FBgn0051491,Gly-TCC-1-2,CR31491,tRNA,Glycine-TCC 1-2
FBgn0050467,CG30467,CG30467,protein_coding,CG30467
FBgn0031974,CG12560,CG12560,protein_coding,CG12560
FBgn0030506,DNAlig4,CG12176,protein_coding,DNA ligase 4
FBgn0035887,Jon66Cii,CG7170,protein_coding,Jonah 66Cii
FBgn0287606,CR46475,CR46475,ncRNA,CR46475
FBgn0259841,CR42410,CR42410,ncRNA,CR42410
FBgn0266022,CR44787,CR44787,ncRNA,CR44787
FBgn0002924,ncd,CG7831,protein_coding,non-claret disjunctional
FBgn0038957,CG7059,CG7059,protein_coding,CG7059
FBgn0261383,IntS6,CG3125,protein_coding,Integrator 6
FBgn0052493,Gln-TTG-2-1,CR32493,tRNA,Glutamine-TTG 2-1
FBgn0265065,CR44176,CR44176,ncRNA,CR44176
FBgn0050267,CR30267,CR30267,ncRNA,CR30267
FBgn0267099,CR45539,CR45539,ncRNA,CR45539
FBgn0028515,EndoGI,CG4930,protein_coding,Endonuclease G inhibitor
FBgn0037756,CG8507,CG8507,protein_coding,CG8507
FBgn0267738,CR46069,CR46069,ncRNA,CR46069
FBgn0034863,SkpF,CG12227,protein_coding,SKP1-related F
FBgn0052476,mthl14,CG32476,protein_coding,methuselah-like 14
FBgn0263480,Irbp-a,CR43595,snoRNA,CR43595
FBgn0030052,CG12065,CG12065,protein_coding,CG12065
FBgn0036796,CG18231,CG18231,protein_coding,CG18231
FBgn0266876,CR45337,CR45337,ncRNA,CR45337
FBgn0086608,CG34112,CG34112,protein_coding,CG34112
FBgn0086711,mol,CG4482,protein_coding,moladietz
FBgn0051386,CR31386,CR31386,ncRNA,CR31386
FBgn0264340,CG43796,CG43796,protein_coding,CG43796
FBgn0028527,CG18507,CG18507,protein_coding,CG18507
FBgn0040963,CG18662,CG18662,protein_coding,CG18662
FBgn0036319,Ent3,CG11010,protein_coding,Equilibrative nucleoside transporter 3
FBgn0030293,CG1737,CG1737,protein_coding,CG1737
FBgn0052330,Glu-CTC-3-1,CR32330,tRNA,Glutamic acid-CTC 3-1
FBgn0085313,CG34284,CG34284,protein_coding,CG34284
FBgn0011919,Met-CAT-1-5,CR31310,tRNA,Methionine-CAT 1-5
FBgn0264979,CG4267,CG4267,protein_coding,CG4267
FBgn0030524,CG10993,CG10993,protein_coding,CG10993
FBgn0267208,CR45648,CR45648,ncRNA,CR45648
FBgn0001084,fy,CG13396,protein_coding,fuzzy
FBgn0261596,RpS24,CG3751,protein_coding,Ribosomal protein S24
FBgn0034350,Lamtor2,CG5189,protein_coding,"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"
FBgn0052016,4E-T,CG32016,protein_coding,eIF4E-Transporter
FBgn0264434,CR43852,CR43852,ncRNA,CR43852
FBgn0037690,Task7,CG9361,protein_coding,TWIK-related acid-sensitive K[+] channel 7
FBgn0259113,PolA1,CG6349,protein_coding,DNA polymerase alpha subunit 1
FBgn0034553,CG9993,CG9993,protein_coding,CG9993
FBgn0042105,CG18748,CG18748,protein_coding,CG18748
FBgn0037125,CG14573,CG14573,protein_coding,CG14573
FBgn0020386,Pdk1,CG1210,protein_coding,Phosphoinositide-dependent kinase 1
FBgn0035164,CG13901,CG13901,protein_coding,CG13901
FBgn0265339,CR44293,CR44293,ncRNA,CR44293
FBgn0086051,Me28S-U2134a,CR34680,snoRNA,CR34680
FBgn0004649,yl,CG1372,protein_coding,yolkless
FBgn0031896,CG4502,CG4502,protein_coding,CG4502
FBgn0026876,CG11403,CG11403,protein_coding,CG11403
FBgn0267054,CR45498,CR45498,pseudogene,CR45498
FBgn0030777,CG9672,CG9672,protein_coding,CG9672
FBgn0032264,Lip4,CG6113,protein_coding,Lipase 4
FBgn0039602,CG1647,CG1647,protein_coding,CG1647
FBgn0030981,CG14191,CG14191,protein_coding,CG14191
FBgn0020765,Acp65Aa,CG10297,protein_coding,Adult cuticle protein 65Aa
FBgn0025388,Alms1a,CG12179,protein_coding,Alstrom syndrome 1a
FBgn0050011,gem,CG30011,protein_coding,gemini
FBgn0262825,CR43196,CR43196,ncRNA,CR43196
FBgn0266873,CR45334,CR45334,ncRNA,CR45334
FBgn0034899,CG13560,CG13560,protein_coding,CG13560
FBgn0267123,CR45563,CR45563,ncRNA,CR45563
FBgn0030979,CG14190,CG14190,protein_coding,CG14190
FBgn0004913,Gnf1,CG1119,protein_coding,Germ line transcription factor 1
FBgn0034352,Dnaaf3,CG17669,protein_coding,Dynein axonemal assembly factor 3
FBgn0264005,Hmx,CG43748,protein_coding,H6-like-homeobox
FBgn0265356,tn,CG15105,protein_coding,thin
FBgn0039159,mRpS24,CG13608,protein_coding,mitochondrial ribosomal protein S24
FBgn0037759,CG8526,CG8526,protein_coding,CG8526
FBgn0046879,Obp56c,CG30128,protein_coding,Odorant-binding protein 56c
FBgn0030753,rngo,CG4420,protein_coding,rings lost
FBgn0030812,wcy,CG8949,protein_coding,wacky
FBgn0037758,CG9467,CG9467,protein_coding,CG9467
FBgn0039073,CG4408,CG4408,protein_coding,CG4408
FBgn0051092,LpR2,CG31092,protein_coding,Lipophorin receptor 2
FBgn0038943,CG5391,CG5391,protein_coding,CG5391
FBgn0085280,CG34251,CG34251,protein_coding,CG34251
FBgn0265784,CrebB,CG6103,protein_coding,Cyclic-AMP response element binding protein B
FBgn0020910,RpL3,CG4863,protein_coding,Ribosomal protein L3
FBgn0003448,sna,CG3956,protein_coding,snail
FBgn0035888,CG7120,CG7120,protein_coding,CG7120
FBgn0029629,eIF3g1,CG8636,protein_coding,eukaryotic translation initiation factor 3 subunit g1
FBgn0267724,CR46057,CR46057,ncRNA,CR46057
FBgn0024732,Drep1,CG8357,protein_coding,DNA fragmentation factor-related protein 1
FBgn0038479,CG17477,CG17477,protein_coding,CG17477
FBgn0260233,CG42507,CG42507,protein_coding,CG42507
FBgn0039258,beta4GalT7,CG11780,protein_coding,beta-4-galactosyltransferase 7
FBgn0031080,CG12655,CG12655,protein_coding,CG12655
FBgn0037387,CG1213,CG1213,protein_coding,CG1213
FBgn0263769,CR43686,CR43686,ncRNA,CR43686
FBgn0263445,CR43468,CR43468,ncRNA,CR43468
FBgn0033868,S-Lap7,CG13340,protein_coding,Sperm-Leucylaminopeptidase 7
FBgn0039254,Nmnat,CG13645,protein_coding,Nicotinamide mononucleotide adenylyltransferase
FBgn0051948,CG31948,CG31948,protein_coding,CG31948
FBgn0039342,CG5107,CG5107,protein_coding,CG5107
FBgn0051216,Naam,CG31216,protein_coding,Nicotinamide amidase
FBgn0035904,GstO3,CG6776,protein_coding,Glutathione S transferase O3
FBgn0022985,qkr58E-2,CG5821,protein_coding,quaking related 58E-2
FBgn0039098,GILT3,CG13822,protein_coding,Gamma-interferon-inducible lysosomal thiol reductase 3
FBgn0053907,CG33907,CG33907,protein_coding,CG33907
FBgn0033866,CG6280,CG6280,protein_coding,CG6280
FBgn0053641,CG33641,CG33641,protein_coding,CG33641
FBgn0263602,Tasp1,CG5241,protein_coding,Taspase 1
FBgn0004581,bgcn,CG30170,protein_coding,benign gonial cell neoplasm
FBgn0040353,CG14417,CG14417,protein_coding,CG14417
FBgn0040723,CG5011,CG5011,protein_coding,CG5011
FBgn0051356,Thr-TGT-1-1,CR31356,tRNA,Threonine-TGT 1-1
FBgn0000015,Abd-B,CG11648,protein_coding,Abdominal B
FBgn0262782,Mdh1,CG5362,protein_coding,Malate dehydrogenase 1
FBgn0085223,CG34194,CG34194,protein_coding,CG34194
FBgn0052302,CG32302,CG32302,protein_coding,CG32302
FBgn0030803,CG4880,CG4880,protein_coding,CG4880
FBgn0039013,RNF220,CG4813,protein_coding,ring finger protein 220
FBgn0031942,CG7203,CG7203,protein_coding,CG7203
FBgn0052986,CG32986,CG32986,protein_coding,CG32986
FBgn0267262,CR45698,CR45698,ncRNA,CR45698
FBgn0031726,Cyp6a16,CG7249,protein_coding,Cytochrome P450 6a16
FBgn0027657,glob1,CG9734,protein_coding,globin 1
FBgn0259203,CG42307,CG42307,protein_coding,CG42307
FBgn0265424,TS14,CR44336,ncRNA, testis-specific 14
FBgn0051760,CG31760,CG31760,protein_coding,CG31760
FBgn0031635,tank,CG15626,protein_coding,tank
FBgn0263048,Gpdh3,CG43343,protein_coding,Glycerol-3-phosphate dehydrogenase 3
FBgn0029694,CG15375,CG15375,protein_coding,CG15375
FBgn0010391,SrpRalpha,CG2522,protein_coding,Signal recognition particle receptor alpha
FBgn0035343,CG16762,CG16762,protein_coding,CG16762
FBgn0036040,CG6749,CG6749,protein_coding,CG6749
FBgn0010328,woc,CG5965,protein_coding,without children
FBgn0041243,Gr43a,CG1712,protein_coding,Gustatory receptor 43a
FBgn0283442,vas,CG46283,protein_coding,vasa
FBgn0023458,Rbcn-3A,CG3585,protein_coding,Rabconnectin-3A
FBgn0264874,CR44065,CR44065,ncRNA,CR44065
FBgn0051427,CR31427,CR31427,pseudogene,CR31427
FBgn0053424,CR33424,CR33424,rRNA,CR33424
FBgn0262577,CG43117,CG43117,protein_coding,CG43117
FBgn0034914,CG5554,CG5554,protein_coding,CG5554
FBgn0037090,Est-Q,CG7529,protein_coding,Esterase Q
FBgn0085417,natalisin,CG34388,protein_coding,natalisin
FBgn0023530,CG3740,CG3740,protein_coding,CG3740
FBgn0050472,CG30472,CG30472,protein_coding,CG30472
FBgn0267809,CR46134,CR46134,ncRNA,CR46134
FBgn0034390,CG15093,CG15093,protein_coding,CG15093
FBgn0015024,CkIalpha,CG2028,protein_coding,Casein kinase Ialpha
FBgn0053474,CG33474,CG33474,protein_coding,CG33474
FBgn0027836,Dgp-1,CG5729,protein_coding,Dgp-1
FBgn0267758,CR46089,CR46089,ncRNA,CR46089
FBgn0037489,Noc3,CG1234,protein_coding,Nucleolar complex protein 3
FBgn0021764,sdk,CG5227,protein_coding,sidekick
FBgn0023395,Chd3,CG9594,protein_coding,Chd3
FBgn0041723,rho-5,CG33304,protein_coding,rhomboid-5
FBgn0086686,l(3)L1231,CG7832,protein_coding,lethal (3) L1231
FBgn0002936,ninaA,CG3966,protein_coding,neither inactivation nor afterpotential A
FBgn0031459,HINT1,CG2862,protein_coding,histidine triad nucleotide binding protein 1
FBgn0033431,CG1827,CG1827,protein_coding,CG1827
FBgn0028866,CG18420,CG18420,protein_coding,CG18420
FBgn0053513,Nmdar2,CG33513,protein_coding,NMDA receptor 2
FBgn0040337,CG3021,CG3021,protein_coding,CG3021
FBgn0031148,Cbs,CG1753,protein_coding,Cystathionine beta-synthase
FBgn0266256,CR44951,CR44951,ncRNA,CR44951
FBgn0025720,Ate1,CG9204,protein_coding,Arginyltransferase 1
FBgn0002576,lz,CG1689,protein_coding,lozenge
FBgn0034000,CG11808,CG11808,protein_coding,CG11808
FBgn0263930,dally,CG4974,protein_coding,division abnormally delayed
FBgn0019960,Mitofilin,CG6455,protein_coding,Mitofilin
FBgn0267797,CR46122,CR46122,ncRNA,CR46122
FBgn0032729,L2HGDH,CG10639,protein_coding,L-2-hydroxyglutarate dehydrogenase
FBgn0250831,BG642167,CG34103,protein_coding,BG642167
FBgn0038114,CG11670,CG11670,protein_coding,CG11670
FBgn0035656,CG10479,CG10479,protein_coding,CG10479
FBgn0250848,CtsK1,CG8947,protein_coding,Cathepsin K1
FBgn0038609,Nup43,CG7671,protein_coding,Nucleoporin 43kD
FBgn0038051,CG17207,CG17207,protein_coding,CG17207
FBgn0262220,mir-987,CR42927,ncRNA,mir-987 stem loop
FBgn0028703,Nhe3,CG11328,protein_coding,Na[+]/H[+] hydrogen exchanger 3
FBgn0051343,CG31343,CG31343,protein_coding,CG31343
FBgn0052026,CG32026,CG32026,protein_coding,CG32026
FBgn0000575,emc,CG1007,protein_coding,extra macrochaetae
FBgn0032360,CG14926,CG14926,protein_coding,CG14926
FBgn0052598,betaNACtes6,CG32598,protein_coding,"Nascent-associated complex beta-subunit-like, testis 6"
FBgn0015776,nrv1,CG9258,protein_coding,nervana 1
FBgn0035035,Samtor,CG3570,protein_coding,S-adenosylmethionine sensor upstream of TORC1
FBgn0262547,CG43101,CG43101,protein_coding,CG43101
FBgn0259099,DCX-EMAP,CG42247,protein_coding,Doublecortin-domain-containing echinoderm-microtubule-associated protein
FBgn0265530,CR44380,CR44380,ncRNA,CR44380
FBgn0038511,cysu,CG5873,protein_coding,Curly Su
FBgn0004512,Mdr49,CG3879,protein_coding,Multi drug resistance 49
FBgn0259935,CG42458,CG42458,protein_coding,CG42458
FBgn0053100,eIF4EHP,CG33100,protein_coding,eukaryotic translation initiation factor 4E homologous protein
FBgn0025809,Paf-AHalpha,CG8962,protein_coding,Platelet-activating factor acetylhydrolase alpha
FBgn0259745,wech,CG42396,protein_coding,wech
FBgn0001108,DCTN1-p150,CG9206,protein_coding,"Dynactin 1, p150 subunit"
FBgn0035398,Cht7,CG1869,protein_coding,Chitinase 7
FBgn0052056,scramb1,CG32056,protein_coding,scramblase 1
FBgn0050390,Sgf29,CG30390,protein_coding,SAGA-associated factor 29kDa
FBgn0085399,CG34370,CG34370,protein_coding,CG34370
FBgn0033564,Pex6,CG11919,protein_coding,Peroxin 6
FBgn0087021,Spc25,CG7242,protein_coding,Spc25
FBgn0284253,LeuRS,CG33123,protein_coding,Leucyl-tRNA synthetase
FBgn0021875,Zfrp8,CG3260,protein_coding,Zinc finger protein RP-8
FBgn0040755,CG17580,CG17580,protein_coding,CG17580
FBgn0036356,CG10222,CG10222,protein_coding,CG10222
FBgn0259219,CG42319,CG42319,protein_coding,CG42319
FBgn0032023,witty,CG14274,protein_coding,without maturity
FBgn0263486,PsiU6-40,CR43601,snoRNA, PsiU6-40
FBgn0004638,drk,CG6033,protein_coding,downstream of receptor kinase
FBgn0263091,CR43359,CR43359,pseudogene,CR43359
FBgn0035083,Tina-1,CG2803,protein_coding,Troponin C-akin-1
FBgn0041605,cpx,CG32490,protein_coding,complexin
FBgn0035511,Cpr64Ab,CG15007,protein_coding,Cuticular protein 64Ab
FBgn0053379,CR33379,CR33379,rRNA,CR33379
FBgn0261854,aPKC,CG42783,protein_coding,atypical protein kinase C
FBgn0032636,CG5043,CG5043,protein_coding,CG5043
FBgn0263270,CG43396,CG43396,protein_coding,CG43396
FBgn0042198,CG16741,CG16741,protein_coding,CG16741
FBgn0263626,CR43635,CR43635,ncRNA,CR43635
FBgn0011207,pelo,CG3959,protein_coding,pelota
FBgn0050449,Glu-CTC-5-1Psi,CR30449,pseudogene,Glutamic acid-CTC 5-1 pseudogene
FBgn0262228,mir-975,CR42935,ncRNA,mir-975 stem loop
FBgn0259192,CG42296,CG42296,protein_coding,CG42296
FBgn0262354,CG43052,CG43052,protein_coding,CG43052
FBgn0032450,CG5776,CG5776,protein_coding,CG5776
FBgn0052201,CG32201,CG32201,protein_coding,CG32201
FBgn0262733,Src64B,CG7524,protein_coding,Src oncogene at 64B
FBgn0031111,Obp19c,CG15457,protein_coding,Odorant-binding protein 19c
FBgn0265882,CR44671,CR44671,ncRNA,CR44671
FBgn0026262,Taf3,CG2009,protein_coding,TBP-associated factor 3
FBgn0264548,CR43927,CR43927,ncRNA,CR43927
FBgn0031713,Coq6,CG7277,protein_coding,Coenzyme Q6
FBgn0011708,Syx5,CG4214,protein_coding,Syntaxin 5
FBgn0289439,CR46530,CR46530,ncRNA,CR46530
FBgn0013732,sced,CG3273,protein_coding,scrambled
FBgn0267179,CR45619,CR45619,ncRNA,CR45619
FBgn0038260,CG14855,CG14855,protein_coding,CG14855
FBgn0028292,ric8a,CG15797,protein_coding,ric8a
FBgn0032986,Nubpl,CG3262,protein_coding,"NUBP iron-sulfur cluster assembly factor, mitochondrial"
FBgn0037688,CG9356,CG9356,protein_coding,CG9356
FBgn0034106,CG9068,CG9068,protein_coding,CG9068
FBgn0031401,papi,CG7082,protein_coding,papi
FBgn0265958,CR44745,CR44745,ncRNA,CR44745
FBgn0051636,CG31636,CG31636,protein_coding,CG31636
FBgn0266028,CR44793,CR44793,ncRNA,CR44793
FBgn0261679,CG42726,CG42726,protein_coding,CG42726
FBgn0037836,CG14692,CG14692,protein_coding,CG14692
FBgn0053834,CG33834,CG33834,protein_coding,CG33834
FBgn0038398,sxe2,CG4979,protein_coding,sex-specific enzyme 2
FBgn0030071,CG12661,CG12661,protein_coding,CG12661
FBgn0085265,CG34236,CG34236,protein_coding,CG34236
FBgn0034485,CG11099,CG11099,protein_coding,CG11099
FBgn0038139,PK2-R2,CG8795,protein_coding,Pyrokinin 2 receptor 2
FBgn0034354,GstE11,CG5224,protein_coding,Glutathione S transferase E11
FBgn0050476,ave,CG30476,protein_coding,aveugle
FBgn0267817,CR46142,CR46142,ncRNA,CR46142
FBgn0033815,CG4676,CG4676,protein_coding,CG4676
FBgn0038312,Zip88E,CG4334,protein_coding,Zinc/iron regulated transporter-related protein 88E
FBgn0263030,CG43325,CG43325,protein_coding,CG43325
FBgn0014006,Ask1,CG4720,protein_coding,Apoptotic signal-regulating kinase 1
FBgn0265177,CG44242,CG44242,protein_coding,CG44242
FBgn0015271,Orc5,CG7833,protein_coding,Origin recognition complex subunit 5
FBgn0039969,Fis1,CG17510,protein_coding,"Fission, mitochondrial 1"
FBgn0261586,CR42696,CR42696,ncRNA,CR42696
FBgn0014028,SdhB,CG3283,protein_coding,"Succinate dehydrogenase, subunit B (iron-sulfur)"
FBgn0086675,fne,CG4396,protein_coding,found in neurons
FBgn0262444,mir-1013,CR43010,ncRNA,mir-1013 stem loop
FBgn0266622,CR45129,CR45129,ncRNA,CR45129
FBgn0033448,hebe,CG1623,protein_coding,hebe
FBgn0265637,CR44444,CR44444,ncRNA,CR44444
FBgn0035997,phol,CG3445,protein_coding,pleiohomeotic like
FBgn0051910,CG31910,CG31910,protein_coding,CG31910
FBgn0259710,CG42364,CG42364,protein_coding,CG42364
FBgn0032407,Pex19,CG5325,protein_coding,Peroxin 19
FBgn0013275,Hsp70Aa,CG31366,protein_coding,Heat shock protein 70 Aa
FBgn0041623,Or65c,CG32403,protein_coding,Odorant receptor 65c
FBgn0266732,CR45205,CR45205,ncRNA,CR45205
FBgn0034152,Acp53C14a,CG8626,protein_coding,Accessory gland protein 53C14a
FBgn0040651,CG15458,CG15458,protein_coding,CG15458
FBgn0038550,CG17801,CG17801,protein_coding,CG17801
FBgn0032478,Rsph1,CG5458,protein_coding,Radial spoke head protein 1
FBgn0035445,Ids,CG12014,protein_coding,Iduronate 2-sulfatase
FBgn0052358,Leu-CAG-1-2,CR32358,tRNA,Leucine-CAG 1-2
FBgn0083975,Nlg4,CG34139,protein_coding,Neuroligin 4
FBgn0037126,CG14567,CG14567,protein_coding,CG14567
FBgn0261393,alpha-Est5,CG1089,protein_coding,alpha-Esterase-5
FBgn0003124,polo,CG12306,protein_coding,polo
FBgn0051861,CG31861,CG31861,protein_coding,CG31861
FBgn0040637,CG11458,CG11458,protein_coding,CG11458
FBgn0037217,CG14636,CG14636,protein_coding,CG14636
FBgn0267315,TS16,CR45751,ncRNA, testis-specific 16
FBgn0001125,Got2,CG4233,protein_coding,Glutamate oxaloacetate transaminase 2
FBgn0266762,CR45227,CR45227,pseudogene,CR45227
FBgn0012034,AcCoAS,CG9390,protein_coding,Acetyl Coenzyme A synthase
FBgn0052984,CG32984,CG32984,protein_coding,CG32984
FBgn0003896,tup,CG10619,protein_coding,tailup
FBgn0261285,Ppcs,CG5629,protein_coding,Phosphopantothenoylcysteine synthetase
FBgn0054038,CG34038,CG34038,protein_coding,CG34038
FBgn0026268,Antdh,CG1386,protein_coding,Antennal dehydrogenase
FBgn0263460,CG31191-a,CR43575,snoRNA,CR43575
FBgn0032312,CG14071,CG14071,protein_coding,CG14071
FBgn0267730,CR46061,CR46061,ncRNA,CR46061
FBgn0082962,Psi28S-3385a,CR34608,snoRNA,Psi28S-3385a
FBgn0265754,CR44561,CR44561,ncRNA,CR44561
FBgn0001174,halo,CG7428,protein_coding,halo
FBgn0288733,CG46508,CG46508,protein_coding,CG46508
FBgn0037621,M1BP,CG9797,protein_coding,Motif 1 Binding Protein
FBgn0266396,CR45036,CR45036,ncRNA,CR45036
FBgn0032265,CG18301,CG18301,protein_coding,CG18301
FBgn0053403,CR33403,CR33403,rRNA,CR33403
FBgn0036369,CG10089,CG10089,protein_coding,CG10089
FBgn0259952,Sfp24Bb,CG42462,protein_coding,Seminal fluid protein 24Bb
FBgn0038952,CG7069,CG7069,protein_coding,CG7069
FBgn0003139,PpV,CG12217,protein_coding,Protein phosphatase V
FBgn0267157,CR45597,CR45597,ncRNA,CR45597
FBgn0031247,CG11562,CG11562,protein_coding,CG11562
FBgn0267620,CR45958,CR45958,ncRNA,CR45958
FBgn0032262,CG7384,CG7384,protein_coding,CG7384
FBgn0259193,Ir94d,CG42297,protein_coding,Ionotropic receptor 94d
FBgn0038815,CG5466,CG5466,protein_coding,CG5466
FBgn0033593,Listericin,CG9080,protein_coding,Listericin
FBgn0037802,Sirt6,CG6284,protein_coding,Sirtuin 6
FBgn0267420,CR45773,CR45773,pseudogene,CR45773
FBgn0028499,CG7985,CG7985,protein_coding,CG7985
FBgn0038694,CG5217,CG5217,protein_coding,CG5217
FBgn0031936,CG13794,CG13794,protein_coding,CG13794
FBgn0265949,CR44736,CR44736,ncRNA,CR44736
FBgn0034570,CG10543,CG10543,protein_coding,CG10543
FBgn0010295,ng3,CG10788,protein_coding,new glue 3
FBgn0061469,Ube3a,CG6190,protein_coding,Ubiquitin protein ligase E3A
FBgn0263251,vnc,CG11989,protein_coding,variable nurse cells
FBgn0267643,CR45981,CR45981,ncRNA,CR45981
FBgn0040256,Ugt35C1,CG6633,protein_coding,UDP-glycosyltransferase family 35 member C1
FBgn0082922,Or-aca4,CR34543,snoRNA,Or-aca4
FBgn0030495,CG11816,CG11816,protein_coding,CG11816
FBgn0039620,wat,CG1443,protein_coding,waterproof
FBgn0267200,CR45640,CR45640,ncRNA,CR45640
FBgn0250847,CG14034,CG14034,protein_coding,CG14034
FBgn0034058,Pex11ab,CG8315,protein_coding,Peroxin 11a/b
FBgn0036610,CG13058,CG13058,protein_coding,CG13058
FBgn0267972,Der-1,CG10908,protein_coding,Derlin-1
FBgn0039425,Ald2,CG5432,protein_coding,Aldolase 2
FBgn0032521,CG7110,CG7110,protein_coding,CG7110
FBgn0265761,CR44568,CR44568,ncRNA,CR44568
FBgn0267674,CR46010,CR46010,ncRNA,CR46010
FBgn0022097,Vha36-1,CG8186,protein_coding,Vacuolar H[+] ATPase 36kD subunit 1
FBgn0259178,5PtaseI,CG42283,protein_coding,Inositol polyphosphate-5-phosphatase type I
FBgn0038752,CG4462,CG4462,protein_coding,CG4462
FBgn0037521,CG2993,CG2993,protein_coding,CG2993
FBgn0052251,Claspin,CG32251,protein_coding,Claspin
FBgn0259101,CG42249,CG42249,protein_coding,CG42249
FBgn0083124,Uhg4,CR42451,ncRNA,U snoRNA host gene 4
FBgn0259175,ome,CG42280,protein_coding,omega
FBgn0024222,IKKbeta,CG4201,protein_coding,I-kappaB kinase beta
FBgn0035896,CG6983,CG6983,protein_coding,CG6983
FBgn0037592,CG11737,CG11737,protein_coding,CG11737
FBgn0034867,CG13557,CG13557,protein_coding,CG13557
FBgn0024975,CG2712,CG2712,protein_coding,CG2712
