"","Dmel.Gene.stable.ID","Dpse.Gene.stable.ID","Dpse.Gene.name","Dpse.Gene.type","LOC","Dmel.Gene.name.x","Dmel.orthology.confidence","Dmel.orthology.type","Dmel.Gene.name.y","Flybase.annotation.ID","Dmel.Gene.type","Dmel.Gene.description"
"5295","FBgn0032660","LOC26531981","","protein_coding",26531981,"elfless",0,"ortholog_many2many","elfless","CG15150","protein_coding","elfless"
"5296","FBgn0032660","LOC6904066","","protein_coding",6904066,"elfless",0,"ortholog_many2many","elfless","CG15150","protein_coding","elfless"
"5297","FBgn0032660","LOC117185048","","protein_coding",117185048,"elfless",0,"ortholog_many2many","elfless","CG15150","protein_coding","elfless"
"5298","FBgn0032660","LOC6897235","","protein_coding",6897235,"elfless",0,"ortholog_many2many","elfless","CG15150","protein_coding","elfless"
"5299","FBgn0032660","LOC6899502","","protein_coding",6899502,"elfless",0,"ortholog_many2many","elfless","CG15150","protein_coding","elfless"
"5300","FBgn0032663","LOC4817655","","protein_coding",4817655,"CG15153",1,"ortholog_one2one","CG15153","CG15153","protein_coding","CG15153"
"5301","FBgn0032664","LOC4811770","","protein_coding",4811770,"Slc25A46b",0,"ortholog_one2many","Slc25A46b","CG5755","protein_coding","Solute carrier family 25 member 46b"
"5302","FBgn0032665","LOC4817654","","protein_coding",4817654,"CG15152",1,"ortholog_one2one","CG15152","CG15152","protein_coding","CG15152"
"5303","FBgn0032666","LOC4817652","","protein_coding",4817652,"CG5758",1,"ortholog_one2one","CG5758","CG5758","protein_coding","CG5758"
"5304","FBgn0032668","LOC4816799","","protein_coding",4816799,"CG17681",1,"ortholog_one2one","CG17681","CG17681","protein_coding","CG17681"
"5305","FBgn0032669","LOC6902949","","protein_coding",6902949,"CG15155",1,"ortholog_one2one","CG15155","CG15155","protein_coding","CG15155"
"5306","FBgn0032670","LOC4816800","","protein_coding",4816800,"CG5783",1,"ortholog_one2one","CG5783","CG5783","protein_coding","CG5783"
"5307","FBgn0032671","LOC4817342","","protein_coding",4817342,"JMJD4",1,"ortholog_one2one","JMJD4","CG7200","protein_coding","Jumonji domain containing 4"
"5308","FBgn0032677","LOC4816970","","protein_coding",4816970,"CG5790",1,"ortholog_one2one","CG5790","CG5790","protein_coding","CG5790"
"5309","FBgn0032680","LOC6902934","","protein_coding",6902934,"Ntf-2r",0,"ortholog_one2one","Ntf-2r","CG10174","protein_coding","Nuclear transport factor-2-related"
"5310","FBgn0032681","LOC4817075","","protein_coding",4817075,"CG10283",1,"ortholog_one2one","CG10283","CG10283","protein_coding","CG10283"
"5311","FBgn0032682","LOC4817386","","protein_coding",4817386,"grnd",1,"ortholog_one2one","grnd","CG10176","protein_coding","grindelwald"
"5312","FBgn0032683","LOC4817425","","protein_coding",4817425,"kon",1,"ortholog_one2one","kon","CG10275","protein_coding","kon-tiki"
"5313","FBgn0032684","LOC4816902","","protein_coding",4816902,"Ugt301D1",1,"ortholog_one2one","Ugt301D1","CG10178","protein_coding","UDP-glycosyltransferase family 301 member D1"
"5314","FBgn0032685","LOC4817056","","protein_coding",4817056,"CG10211",1,"ortholog_one2one","CG10211","CG10211","protein_coding","CG10211"
"5315","FBgn0032688","LOC4817463","","protein_coding",4817463,"CG15160",1,"ortholog_one2one","CG15160","CG15160","protein_coding","CG15160"
"5316","FBgn0032689","LOC4817446","","protein_coding",4817446,"CG10413",1,"ortholog_one2one","CG10413","CG10413","protein_coding","CG10413"
"5317","FBgn0032690","LOC4817447","","protein_coding",4817447,"CG10333",1,"ortholog_one2one","CG10333","CG10333","protein_coding","CG10333"
"5318","FBgn0032691","LOC4816983","","protein_coding",4816983,"Atac2",1,"ortholog_one2one","Atac2","CG10414","protein_coding","Ada2a-containing complex component 2"
"5319","FBgn0032692","LOC4817261","","protein_coding",4817261,"IFT46",0,"ortholog_one2one","IFT46","CG15161","protein_coding","Intraflagellar transport 46"
"5320","FBgn0032693","LOC4817061","","protein_coding",4817061,"Cyp310a1",1,"ortholog_one2one","Cyp310a1","CG10391","protein_coding","Cytochrome P450 310a1"
"5321","FBgn0032694","LOC4816888","","protein_coding",4816888,"MESR3",1,"ortholog_one2one","MESR3","CG15162","protein_coding","Misexpression suppressor of ras 3"
"5322","FBgn0032698","LOC4817133","","protein_coding",4817133,"CG10336",1,"ortholog_one2one","CG10336","CG10336","protein_coding","CG10336"
"5323","FBgn0032699","LOC4817326","","protein_coding",4817326,"CG10383",1,"ortholog_one2one","CG10383","CG10383","protein_coding","CG10383"
"5324","FBgn0032700","LOC4817327","","protein_coding",4817327,"CG10338",1,"ortholog_one2one","CG10338","CG10338","protein_coding","CG10338"
"5325","FBgn0032701","LOC4816802","","protein_coding",4816802,"CG10341",1,"ortholog_one2one","CG10341","CG10341","protein_coding","CG10341"
"5326","FBgn0032702","LOC4817233","","protein_coding",4817233,"CG10376",1,"ortholog_one2one","CG10376","CG10376","protein_coding","CG10376"
"5327","FBgn0032703","LOC4817293","","protein_coding",4817293,"CG10343",1,"ortholog_one2one","CG10343","CG10343","protein_coding","CG10343"
"5328","FBgn0032704","LOC6903114","","protein_coding",6903114,"Jwa",1,"ortholog_one2one","Jwa","CG10373","protein_coding","Jwa"
"5329","FBgn0032705","LOC4817648","","protein_coding",4817648,"Grip71",0,"ortholog_one2one","Grip71","CG10346","protein_coding","Grip71"
"5330","FBgn0032706","LOC4817649","","protein_coding",4817649,"Irk3",1,"ortholog_one2one","Irk3","CG10369","protein_coding","Inwardly rectifying potassium channel 3"
"5331","FBgn0032707","LOC4817069","","protein_coding",4817069,"CG10348",1,"ortholog_one2one","CG10348","CG10348","protein_coding","CG10348"
"5332","FBgn0032709",NA,NA,NA,NA,NA,NA,NA,"CG15167","CG15167","protein_coding","CG15167"
"5333","FBgn0032713","LOC4816868","","protein_coding",4816868,"Ugt36D1",1,"ortholog_one2one","Ugt36D1","CG17323","protein_coding","UDP-glycosyltransferase family 36 member D1"
"5334","FBgn0032715","LOC6902956","","protein_coding",6902956,"CG17597",1,"ortholog_one2one","CG17597","CG17597","protein_coding","CG17597"
"5335","FBgn0032717","LOC6902958","","protein_coding",6902958,"CG10600",1,"ortholog_one2one","CG10600","CG10600","protein_coding","CG10600"
"5336","FBgn0032719","LOC4817012","","protein_coding",4817012,"CG17321",1,"ortholog_one2one","CG17321","CG17321","protein_coding","CG17321"
"5337","FBgn0032720",NA,NA,NA,NA,NA,NA,NA,"mRpL13","CG10603","protein_coding","mitochondrial ribosomal protein L13"
"5338","FBgn0032721","LOC6902851","","protein_coding",6902851,"CG10602",1,"ortholog_one2one","CG10602","CG10602","protein_coding","CG10602"
"5339","FBgn0032723","LOC4817487","","protein_coding",4817487,"ssp3",1,"ortholog_one2one","ssp3","CG18397","protein_coding","short spindle 3"
"5340","FBgn0032724","LOC4817220","","protein_coding",4817220,"CG10428",1,"ortholog_one2one","CG10428","CG10428","protein_coding","CG10428"
"5341","FBgn0032725","LOC4817338","","protein_coding",4817338,"Nedd8",1,"ortholog_one2one","Nedd8","CG10679","protein_coding","Nedd8 ubiquitin like modifier"
"5342","FBgn0032726","LOC4817337","","protein_coding",4817337,"CG10621",1,"ortholog_one2one","CG10621","CG10621","protein_coding","CG10621"
"5343","FBgn0032727","LOC4816950","","protein_coding",4816950,"Bhmt",1,"ortholog_one2one","Bhmt","CG10623","protein_coding","Betaine-homocysteine S-methyltransferase"
"5344","FBgn0032728","LOC4816927","","protein_coding",4816927,"Tango6",1,"ortholog_one2one","Tango6","CG18398","protein_coding","Transport and Golgi organization 6"
"5345","FBgn0032729","LOC4816926","","protein_coding",4816926,"L2HGDH",1,"ortholog_one2one","L2HGDH","CG10639","protein_coding","L-2-hydroxyglutarate dehydrogenase"
"5346","FBgn0032730","LOC4816918","","protein_coding",4816918,"CG10431",1,"ortholog_one2one","CG10431","CG10431","protein_coding","CG10431"
"5347","FBgn0032731","LOC4816967","","protein_coding",4816967,"Swip-1",1,"ortholog_one2one","Swip-1","CG10641","protein_coding","Swiprosin-1"
"5348","FBgn0032732","LOC4816966","","protein_coding",4816966,"EMC5",1,"ortholog_one2one","EMC5","CG15168","protein_coding","ER membrane protein complex subunit 5"
"5349","FBgn0032733","LOC4817385","","protein_coding",4817385,"CG15170",1,"ortholog_one2one","CG15170","CG15170","protein_coding","CG15170"
"5350","FBgn0032734","LOC4817048","","protein_coding",4817048,"CG15169",1,"ortholog_one2one","CG15169","CG15169","protein_coding","CG15169"
"5351","FBgn0032740",NA,NA,NA,NA,NA,NA,NA,"CG15172","CG15172","protein_coding","CG15172"
"5352","FBgn0032741","LOC4817192","","protein_coding",4817192,"Sidpn",1,"ortholog_one2one","Sidpn","CG10446","protein_coding","similar to Deadpan"
"5353","FBgn0032744","LOC4817055","","protein_coding",4817055,"Ttc19",1,"ortholog_one2one","Ttc19","CG15173","protein_coding","Tetratricopeptide repeat domain 19"
"5354","FBgn0032746","LOC4817931","","protein_coding",4817931,"CG10470",1,"ortholog_one2one","CG10470","CG10470","protein_coding","CG10470"
"5355","FBgn0032748","LOC13036385","","protein_coding",13036385,"CG10492",1,"ortholog_one2one","CG10492","CG10492","protein_coding","CG10492"
"5356","FBgn0032749","LOC4817886","","protein_coding",4817886,"Phlpp",1,"ortholog_one2one","Phlpp","CG10493","protein_coding","PH domain leucine-rich repeat protein phosphatase"
"5357","FBgn0032750","LOC4817962","","protein_coding",4817962,"Dus4",1,"ortholog_one2one","Dus4","CG10495","protein_coding","Dihydrouridine synthase 4"
"5358","FBgn0032751","LOC4816661","","protein_coding",4816661,"CG17343",0,"ortholog_one2one","CG17343","CG17343","protein_coding","CG17343"
"5359","FBgn0032752",NA,NA,NA,NA,NA,NA,NA,"CG10702","CG10702","protein_coding","CG10702"
"5360","FBgn0032753","LOC6902740","","protein_coding",6902740,"CG17572",0,"ortholog_one2many","CG17572","CG17572","protein_coding","CG17572"
"5361","FBgn0032753","LOC4816574","","protein_coding",4816574,"CG17572",0,"ortholog_one2many","CG17572","CG17572","protein_coding","CG17572"
"5362","FBgn0032754",NA,NA,NA,NA,NA,NA,NA,"CG10700","CG10700","protein_coding","CG10700"
"5363","FBgn0032755",NA,NA,NA,NA,NA,NA,NA,"CG17344","CG17344","protein_coding","CG17344"
"5364","FBgn0032763","LOC6897403","","protein_coding",6897403,"CG17568",0,"ortholog_one2one","CG17568","CG17568","protein_coding","CG17568"
"5365","FBgn0032768",NA,NA,NA,NA,NA,NA,NA,"CG17564","CG17564","protein_coding","CG17564"
"5366","FBgn0032769",NA,NA,NA,NA,NA,NA,NA,"CG10750","CG10750","protein_coding","CG10750"
"5367","FBgn0032770","LOC4816380","","protein_coding",4816380,"CG13086",1,"ortholog_one2one","CG13086","CG13086","protein_coding","CG13086"
"5368","FBgn0032771","LOC4816593","","protein_coding",4816593,"CG17349",1,"ortholog_one2one","CG17349","CG17349","protein_coding","CG17349"
"5369","FBgn0032772","LOC4816758","","protein_coding",4816758,"CG17350",1,"ortholog_one2one","CG17350","CG17350","protein_coding","CG17350"
"5370","FBgn0032773","LOC4816616","","protein_coding",4816616,"fon",1,"ortholog_one2one","fon","CG15825","protein_coding","fondue"
"5371","FBgn0032774","LOC4816615","","protein_coding",4816615,"CG17549",1,"ortholog_one2one","CG17549","CG17549","protein_coding","CG17549"
"5372","FBgn0032775","LOC4816597","","protein_coding",4816597,"CG17544",1,"ortholog_one2one","CG17544","CG17544","protein_coding","CG17544"
"5373","FBgn0032779",NA,NA,NA,NA,NA,NA,NA,"Alp12","CG16771","protein_coding","Alkaline phosphatase 12"
"5374","FBgn0032780","LOC4816388","","protein_coding",4816388,"CG13085",1,"ortholog_one2one","CG13085","CG13085","protein_coding","CG13085"
"5375","FBgn0032781","LOC4816348","","protein_coding",4816348,"RtcB",1,"ortholog_one2one","RtcB","CG9987","protein_coding","RtcB RNA ligase"
"5376","FBgn0032782","LOC4816347","","protein_coding",4816347,"Rab9",1,"ortholog_one2one","Rab9","CG9994","protein_coding","Rab9"
"5377","FBgn0032783","LOC4816363","","protein_coding",4816363,"CG10237",1,"ortholog_one2one","CG10237","CG10237","protein_coding","CG10237"
"5378","FBgn0032785","LOC4816594","","protein_coding",4816594,"CG10026",1,"ortholog_one2one","CG10026","CG10026","protein_coding","CG10026"
"5379","FBgn0032787","LOC6902726","","protein_coding",6902726,"CG10195",1,"ortholog_one2one","CG10195","CG10195","protein_coding","CG10195"
"5380","FBgn0032788","LOC4816536","","protein_coding",4816536,"CG13084",1,"ortholog_one2one","CG13084","CG13084","protein_coding","CG13084"
"5381","FBgn0032789","LOC4816451","","protein_coding",4816451,"CG13083",1,"ortholog_one2one","CG13083","CG13083","protein_coding","CG13083"
"5382","FBgn0032790","LOC4816450","","protein_coding",4816450,"CG10194",1,"ortholog_one2one","CG10194","CG10194","protein_coding","CG10194"
"5383","FBgn0032791","LOC6902725","","protein_coding",6902725,"CG18094",1,"ortholog_one2one","CG18094","CG18094","protein_coding","CG18094"
"5384","FBgn0032793","LOC4816297","","protein_coding",4816297,"Ctu2",1,"ortholog_one2one","Ctu2","CG10189","protein_coding","Cytosolic thiouridylase subunit 2"
"5385","FBgn0032796","LOC4816286","","protein_coding",4816286,"cyst",1,"ortholog_one2one","cyst","CG10188","protein_coding","cysts"
"5386","FBgn0032797","LOC4817874","","protein_coding",4817874,"Hasp",1,"ortholog_one2one","Hasp","CG10186","protein_coding","Hig-anchoring scaffold protein"
"5387","FBgn0032798","LOC4817871","","protein_coding",4817871,"CG10132",1,"ortholog_one2one","CG10132","CG10132","protein_coding","CG10132"
"5388","FBgn0032799","LOC4817882","","protein_coding",4817882,"Dpm1",1,"ortholog_one2one","Dpm1","CG10166","protein_coding","Dolichyl-phosphate mannosyltransferase subunit 1"
"5389","FBgn0032800","LOC4817913","","protein_coding",4817913,"CG10137",1,"ortholog_one2one","CG10137","CG10137","protein_coding","CG10137"
"5390","FBgn0032801","LOC4817914","","protein_coding",4817914,"CG10165",1,"ortholog_one2one","CG10165","CG10165","protein_coding","CG10165"
"5391","FBgn0032803","LOC117184208","","protein_coding",117184208,"CG13082",1,"ortholog_one2one","CG13082","CG13082","protein_coding","CG13082"
"5392","FBgn0032804","LOC4817845","","protein_coding",4817845,"CG13081",1,"ortholog_one2one","CG13081","CG13081","protein_coding","CG13081"
"5393","FBgn0032805","LOC4818180","","protein_coding",4818180,"CG10337",1,"ortholog_one2one","CG10337","CG10337","protein_coding","CG10337"
"5394","FBgn0032809","LOC4816217","","protein_coding",4816217,"CG13078",1,"ortholog_one2one","CG13078","CG13078","protein_coding","CG13078"
"5395","FBgn0032810","LOC4816216","","protein_coding",4816216,"CG13077",1,"ortholog_one2one","CG13077","CG13077","protein_coding","CG13077"
"5396","FBgn0032811","LOC4818022","","protein_coding",4818022,"Pmvk",0,"ortholog_one2one","Pmvk","CG10268","protein_coding","Phosphomevalonate kinase"
"5397","FBgn0032812","LOC4818141","","protein_coding",4818141,"Hakai",0,"ortholog_one2one","Hakai","CG10263","protein_coding","Hakai"
"5398","FBgn0032813","LOC4818140","","protein_coding",4818140,"PCNA2",0,"ortholog_one2one","PCNA2","CG10262","protein_coding","Proliferating cell nuclear antigen 2"
"5399","FBgn0032814","LOC4816202","","protein_coding",4816202,"CG10366",1,"ortholog_one2one","CG10366","CG10366","protein_coding","CG10366"
"5400","FBgn0032815","LOC4816109","","protein_coding",4816109,"CG10462",1,"ortholog_one2one","CG10462","CG10462","protein_coding","CG10462"
"5401","FBgn0032816","LOC4816206","","protein_coding",4816206,"Nf-YB",1,"ortholog_one2one","Nf-YB","CG10447","protein_coding","Nuclear factor Y-box B"
"5402","FBgn0032817","LOC4816176","","protein_coding",4816176,"CG10631",1,"ortholog_one2one","CG10631","CG10631","protein_coding","CG10631"
"5403","FBgn0032818","LOC4816147","","protein_coding",4816147,"CG10628",1,"ortholog_one2one","CG10628","CG10628","protein_coding","CG10628"
"5404","FBgn0032819","LOC4816171","","protein_coding",4816171,"Dus3",1,"ortholog_one2one","Dus3","CG10463","protein_coding","Dihydrouridine synthase 3"
"5405","FBgn0032820","LOC4816166","","protein_coding",4816166,"fbp",1,"ortholog_one2one","fbp","CG31692","protein_coding","fructose-1,6-bisphosphatase"
"5406","FBgn0032821","LOC4816182","","protein_coding",4816182,"CdGAPr",1,"ortholog_one2one","CdGAPr","CG10538","protein_coding","Cd GTPase activating protein-related"
"5407","FBgn0032822","LOC4816203","","protein_coding",4816203,"CG10466",1,"ortholog_one2one","CG10466","CG10466","protein_coding","CG10466"
"5408","FBgn0032824","LOC4816218","","protein_coding",4816218,"CG13962",0,"ortholog_one2one","CG13962","CG13962","protein_coding","CG13962"
"5409","FBgn0032827","LOC4816609","","protein_coding",4816609,"CG10481",1,"ortholog_one2one","CG10481","CG10481","protein_coding","CG10481"
"5410","FBgn0032833","LOC4816611","","protein_coding",4816611,"COX4",1,"ortholog_one2one","COX4","CG10664","protein_coding","Cytochrome c oxidase subunit 4"
"5411","FBgn0032834",NA,NA,NA,NA,NA,NA,NA,"CG13965","CG13965","protein_coding","CG13965"
"5412","FBgn0032835","LOC4816717","","protein_coding",4816717,"CG16772",1,"ortholog_one2one","CG16772","CG16772","protein_coding","CG16772"
"5413","FBgn0032836","LOC6902619","","protein_coding",6902619,"CG10680",1,"ortholog_one2one","CG10680","CG10680","protein_coding","CG10680"
"5414","FBgn0032839","LOC6902422","","protein_coding",6902422,"AANATL3",0,"ortholog_many2many","AANATL3","CG10659","protein_coding","Arylalkylamine N-acetyltransferase-like 3"
"5415","FBgn0032839","LOC6898067","","protein_coding",6898067,"AANATL3",0,"ortholog_many2many","AANATL3","CG10659","protein_coding","Arylalkylamine N-acetyltransferase-like 3"
"5416","FBgn0032840","LOC4816366","","protein_coding",4816366,"sNPF",1,"ortholog_one2one","sNPF","CG13968","protein_coding","short neuropeptide F precursor"
"5417","FBgn0032843","LOC4816273","","protein_coding",4816273,"CG10730",1,"ortholog_one2one","CG10730","CG10730","protein_coding","CG10730"
"5418","FBgn0032845","LOC4816704","","protein_coding",4816704,"CG10747",1,"ortholog_one2one","CG10747","CG10747","protein_coding","CG10747"
"5419","FBgn0032846","LOC4816473","","protein_coding",4816473,"Pyroxd1",1,"ortholog_one2one","Pyroxd1","CG10721","protein_coding","Pyridine nucleotide-disulfide oxidoreductase domain 1"
"5420","FBgn0032847","LOC4816349","","protein_coding",4816349,"Taf13",0,"ortholog_one2one","Taf13","CG10756","protein_coding","TBP-associated factor 13"
"5421","FBgn0032848","LOC4816703","","protein_coding",4816703,"nesd",1,"ortholog_one2one","nesd","CG10722","protein_coding","nessun dorma"
"5422","FBgn0032849","LOC6902609","","protein_coding",6902609,"mRpS18B",1,"ortholog_one2one","mRpS18B","CG10757","protein_coding","mitochondrial ribosomal protein S18B"
"5423","FBgn0032850","LOC4816409","","protein_coding",4816409,"Kua",0,"ortholog_one2one","Kua","CG10723","protein_coding","Kua"
"5424","FBgn0032851","LOC6902607","","protein_coding",6902607,"CG13970",1,"ortholog_one2one","CG13970","CG13970","protein_coding","CG13970"
"5425","FBgn0032853","LOC6902679","","protein_coding",6902679,"CG10651",0,"ortholog_one2many","CG10651","CG10651","protein_coding","CG10651"
"5426","FBgn0032853","LOC117184035","","protein_coding",117184035,"CG10651",0,"ortholog_one2many","CG10651","CG10651","protein_coding","CG10651"
"5427","FBgn0032856","LOC4816381","","protein_coding",4816381,"CG16798",1,"ortholog_one2one","CG16798","CG16798","protein_coding","CG16798"
"5428","FBgn0032857","LOC4816728","","protein_coding",4816728,"CG10947",1,"ortholog_one2one","CG10947","CG10947","protein_coding","CG10947"
"5429","FBgn0032858","LOC4816669","","protein_coding",4816669,"CG10949",1,"ortholog_one2one","CG10949","CG10949","protein_coding","CG10949"
"5430","FBgn0032859","LOC4816687","","protein_coding",4816687,"Arpc2",1,"ortholog_one2one","Arpc2","CG10954","protein_coding","Actin-related protein 2/3 complex, subunit 2"
"5431","FBgn0032860","LOC4816765","","protein_coding",4816765,"CG15130",1,"ortholog_one2one","CG15130","CG15130","protein_coding","CG15130"
"5432","FBgn0032863","LOC4816339","","protein_coding",4816339,"Cdc23",0,"ortholog_one2many","Cdc23","CG2508","protein_coding","Cell division cycle 23"
"5433","FBgn0032864","LOC4817229","","protein_coding",4817229,"CG2493",0,"ortholog_one2one","CG2493","CG2493","protein_coding","CG2493"
"5434","FBgn0032867",NA,NA,NA,NA,NA,NA,NA,"CG15475","CG15475","protein_coding","CG15475"
"5435","FBgn0032868",NA,NA,NA,NA,NA,NA,NA,"CG17472","CG17472","protein_coding","CG17472"
"5436","FBgn0032869","LOC6903093","","protein_coding",6903093,"CG17470",0,"ortholog_one2one","CG17470","CG17470","protein_coding","CG17470"
"5437","FBgn0032870","LOC4817297","","protein_coding",4817297,"CG2608",1,"ortholog_one2one","CG2608","CG2608","protein_coding","CG2608"
"5438","FBgn0032871",NA,NA,NA,NA,NA,NA,NA,"CG2611","CG2611","protein_coding","CG2611"
"5439","FBgn0032873","LOC4816930","","protein_coding",4816930,"CG2614",1,"ortholog_one2one","CG2614","CG2614","protein_coding","CG2614"
"5440","FBgn0032876","LOC26534447","","protein_coding",26534447,"Cen",0,"ortholog_one2one","Cen","CG1962","protein_coding","Centrocortin"
"5441","FBgn0032877","LOC6903085","","protein_coding",6903085,"CG2617",1,"ortholog_one2many","CG2617","CG2617","protein_coding","CG2617"
"5442","FBgn0032877","LOC4816866","","protein_coding",4816866,"CG2617",1,"ortholog_one2many","CG2617","CG2617","protein_coding","CG2617"
"5443","FBgn0032878","LOC4817097","","protein_coding",4817097,"CG9316",1,"ortholog_one2one","CG9316","CG9316","protein_coding","CG9316"
"5444","FBgn0032879","LOC4817368","","protein_coding",4817368,"CarT",1,"ortholog_one2one","CarT","CG9317","protein_coding","Carcinine transporter"
"5445","FBgn0032880","LOC4817108","","protein_coding",4817108,"TM9SF2",1,"ortholog_one2one","TM9SF2","CG9318","protein_coding","Transmembrane 9 superfamily protein member 2"
"5446","FBgn0032881","LOC4817280","","protein_coding",4817280,"Amacr",1,"ortholog_one2one","Amacr","CG9319","protein_coding","Alpha-methylacyl-CoA racemase"
"5447","FBgn0032882","LOC4816858","","protein_coding",4816858,"Ns4",1,"ortholog_one2one","Ns4","CG9320","protein_coding","Nucleostemin 4"
"5448","FBgn0032883","LOC4816845","","protein_coding",4816845,"Rhau",1,"ortholog_one2one","Rhau","CG9323","protein_coding","RHAU helicase"
"5449","FBgn0032884","LOC4817290","","protein_coding",4817290,"Pomp",1,"ortholog_one2one","Pomp","CG9324","protein_coding","Pomp"
"5450","FBgn0032886","LOC4816935","","protein_coding",4816935,"CG9328",1,"ortholog_one2one","CG9328","CG9328","protein_coding","CG9328"
"5451","FBgn0032888","LOC6898089","","protein_coding",6898089,"CheB38c",0,"ortholog_one2many","CheB38c","CG14405","protein_coding","Chemosensory protein B 38c"
"5452","FBgn0032889","LOC4817449","","protein_coding",4817449,"CG9331",1,"ortholog_one2one","CG9331","CG9331","protein_coding","CG9331"
"5453","FBgn0032891","LOC4817448","","protein_coding",4817448,"Oseg5",1,"ortholog_one2one","Oseg5","CG9333","protein_coding","Outer segment 5"
"5454","FBgn0032894","LOC4816793","","protein_coding",4816793,"CG14402",1,"ortholog_one2one","CG14402","CG14402","protein_coding","CG14402"
"5455","FBgn0032895","LOC4817154","","protein_coding",4817154,"twit",1,"ortholog_one2one","twit","CG9335","protein_coding","target of wit"
"5456","FBgn0032896","LOC4817153","","protein_coding",4817153,"CG14400",1,"ortholog_one2one","CG14400","CG14400","protein_coding","CG14400"
"5457","FBgn0032897","LOC4817460","","protein_coding",4817460,"bero",1,"ortholog_one2one","bero","CG9336","protein_coding","belly roll"
"5458","FBgn0032898",NA,NA,NA,NA,NA,NA,NA,"CR9337","CR9337","pseudogene","CR9337"
"5459","FBgn0032899","LOC6903080","","protein_coding",6903080,"CG9338",1,"ortholog_one2one","CG9338","CG9338","protein_coding","CG9338"
"5460","FBgn0032900","LOC6903079","","protein_coding",6903079,"CG14401",1,"ortholog_one2one","CG14401","CG14401","protein_coding","CG14401"
"5461","FBgn0032901","LOC6903078","","protein_coding",6903078,"sky",1,"ortholog_one2one","sky","CG9339","protein_coding","skywalker"
"5462","FBgn0032907","LOC6903074","","protein_coding",6903074,"Nthl1",1,"ortholog_one2one","Nthl1","CG9272","protein_coding","Nth-like DNA glycosylase 1"
"5463","FBgn0032908","LOC4818201","","protein_coding",4818201,"CG9270",0,"ortholog_one2one","CG9270","CG9270","protein_coding","CG9270"
"5464","FBgn0032910","LOC4818198","","protein_coding",4818198,"CG9265",1,"ortholog_one2one","CG9265","CG9265","protein_coding","CG9265"
"5465","FBgn0032911","LOC4818197","","protein_coding",4818197,"tadr",1,"ortholog_one2one","tadr","CG9264","protein_coding","torn and diminished rhabdomeres"
"5466","FBgn0032913","LOC4818195","","protein_coding",4818195,"CG9259",1,"ortholog_one2one","CG9259","CG9259","protein_coding","CG9259"
"5467","FBgn0032914","LOC6903588","","protein_coding",6903588,"CG14397",1,"ortholog_one2one","CG14397","CG14397","protein_coding","CG14397"
"5468","FBgn0032916","LOC4818193","","protein_coding",4818193,"CG9257",1,"ortholog_one2one","CG9257","CG9257","protein_coding","CG9257"
"5469","FBgn0032919","LOC4818190","","protein_coding",4818190,"pths",1,"ortholog_one2one","pths","CG9253","protein_coding","porthos"
"5470","FBgn0032921","LOC4818187","","protein_coding",4818187,"Mpp6",1,"ortholog_one2one","Mpp6","CG9250","protein_coding","M-phase phosphoprotein 6"
"5471","FBgn0032922","LOC4818186","","protein_coding",4818186,"Coq3",1,"ortholog_one2one","Coq3","CG9249","protein_coding","Coenzyme Q3"
"5472","FBgn0032923","LOC4818185","","protein_coding",4818185,"Pld3",1,"ortholog_one2one","Pld3","CG9248","protein_coding","Phospholipase D family member 3"
"5473","FBgn0032924","LOC4818184","","protein_coding",4818184,"Nbr",1,"ortholog_one2one","Nbr","CG9247","protein_coding","Nibbler"
"5474","FBgn0032925","LOC4818183","","protein_coding",4818183,"Noc2",1,"ortholog_one2one","Noc2","CG9246","protein_coding","Nucleolar complex protein 2"
"5475","FBgn0032929","LOC4817997","","protein_coding",4817997,"Mcm10",1,"ortholog_one2one","Mcm10","CG9241","protein_coding","Minichromosome maintenance 10"
"5476","FBgn0032934","LOC4816544","","protein_coding",4816544,"CG8679",1,"ortholog_one2one","CG8679","CG8679","protein_coding","CG8679"
"5477","FBgn0032935","LOC4816543","","protein_coding",4816543,"Atg18b",1,"ortholog_one2one","Atg18b","CG8678","protein_coding","Autophagy-related 18b"
"5478","FBgn0032938","LOC4816424","","protein_coding",4816424,"CG8671",1,"ortholog_one2one","CG8671","CG8671","protein_coding","CG8671"
"5479","FBgn0032940","LOC4816305","","protein_coding",4816305,"Mondo",1,"ortholog_one2one","Mondo","CG18362","protein_coding","Mondo"
"5480","FBgn0032943","LOC4816582","","protein_coding",4816582,"Tsp39D",1,"ortholog_one2one","Tsp39D","CG8666","protein_coding","Tetraspanin 39D"
"5481","FBgn0032945","LOC4816568","","protein_coding",4816568,"CG8665",1,"ortholog_one2one","CG8665","CG8665","protein_coding","CG8665"
"5482","FBgn0032946","LOC4816748","","protein_coding",4816748,"nrv3",1,"ortholog_one2one","nrv3","CG8663","protein_coding","nervana 3"
"5483","FBgn0032949","LOC4816487","","protein_coding",4816487,"Lamp1",0,"ortholog_one2one","Lamp1","CG3305","protein_coding","Lamp1"
"5484","FBgn0032955","LOC4817935","","protein_coding",4817935,"CG2201",1,"ortholog_one2one","CG2201","CG2201","protein_coding","CG2201"
"5485","FBgn0032956","LOC4817811","","protein_coding",4817811,"Cul2",1,"ortholog_one2one","Cul2","CG1512","protein_coding","Cullin 2"
